Gene	CF18_KO_6h	CF18_WT_6h	CF18_KO_4h	CF18_WT_4h
WBGene00013419	4.06762618574021	2.28606849695883	2.93643133327278	2.87683825168719
WBGene00012423	46.9389978613024	63.6183946504311	47.0208127503584	58.3336416340026
WBGene00012424	2.78138165834357	5.35601115942684	2.67445324137631	5.07837898851067
WBGene00012425	0.387726913215611	1.19171851131246	0.703672655878051	1.44568959026323
WBGene00045097	0	0.095534680943675	0	0
WBGene00012159	0.17540603165768	0.226005865568674	0.111948107822596	0.204162399817009
WBGene00050923	0.0518039041408319	0	0.0385817025444508	0
WBGene00047759	0.0255897564596894	0.0576733263331936	0.0156926320172691	0.10689499742137
WBGene00173354	0.0518039041408319	0.0174682518406618	0.0228890705271817	0
WBGene00013098	2.10306999373269	3.08301958204178	2.01855949163958	2.00325355524817
WBGene00165001	0.0262141476811425	0.018640111781687	0	0.0196756108764007
WBGene00219244	0.124226518738302	0.19106936188735	0.127640739839866	0.199138391891674
WBGene00004357	415.9374945316	316.725948324304	404.281978798653	316.979925414999
WBGene00220175	4.04899078417091	3.59804446621101	3.94896359978384	4.077642283794
WBGene00013100	0.460773919034534	0.396672526839394	0.527952907485775	0.459355415494106
WBGene00194647	0.021243101678091	0.0407862055396392	0.0156926320172691	0.0483785223959356
WBGene00013101	1.02042895456221	1.42776124119073	1.11778376211692	1.2211613484084
WBGene00013103	46.807267452399	75.7597220653117	31.7999968810702	47.4862674975502
WBGene00000709	0.637404649366548	0.854462703947582	0.537651397290069	0.690779590798175
WBGene00013104	29.0119540887043	59.9468706072452	27.0457049458169	39.3395602420702
WBGene00174487	0	0.0390332145515066	0	0.0191652532726328
WBGene00000710	0.254672865922561	0.132814904507049	0.296164049722229	0.379201467289544
WBGene00013107	0.789094098228898	0.573117634080955	0.655893749736733	0.705090341036646
WBGene00013106	283.709123731579	265.041169010545	321.959151936889	274.188556054554
WBGene00013109	21.8530180246686	18.6862605171084	26.7035682643776	18.3712684498399
WBGene00048538	0	0.0937816899555424	0.0457781410543634	0.0433545144706006
WBGene00047659	0.0262141476811425	0.0174682518406618	0	0.0483785223959356
WBGene00049586	0.0262141476811425	0.0174682518406618	0.0156926320172691	0.0816850210158662
WBGene00048164	0.0262141476811425	0.0378613546104814	0	0.0241892611979678
WBGene00045538	0	0.0361083636223488	0.0156926320172691	0.0438648720743685
WBGene00046917	0.021243101678091	0.0203931027698196	0	0.0388408641490335
WBGene00049131	0.021243101678091	0.0174682518406618	0	0.0241892611979678
WBGene00013111	34.1753673447408	58.9921157792473	38.0622238486615	62.6068748389373
WBGene00049408	0	0.0961158119907825	0.0228890705271817	0
WBGene00013112	1.32851046030686	2.5657318317248	1.52349278698212	2.4254790529622
WBGene00013113	1.37607784488907	2.33630083791414	1.71079991212193	2.28322575783935
WBGene00013114	2.84123039705758	4.35822520289023	3.25218728000461	4.91065443238206
WBGene00013119	11.2338370496759	41.056153768643	11.0636664518865	30.6110552887959
WBGene00012787	0.198522307000131	0.61742901729048	0.171520380988851	0.65849380738578
WBGene00012788	8.27394855973428	9.52575883857492	6.94865756110931	7.61888949748533
WBGene00198812	0.0468328581377804	0.0174682518406618	0.05427433456172	0.0191652532726328
WBGene00045321	0.342743144973617	0.174182241093796	0.227894399252283	0.23346560571914
WBGene00012793	0.279638231160797	0.422924929314339	0.372728709903196	0.209276344521173
WBGene00012789	0.603121583343662	1.39804531908656	0.643300454007528	0.974665149328323
WBGene00012790	0.669838625493648	1.01358207112343	0.625910505881215	1.13914584334642
WBGene00045143	0.423859069134284	0.490463814641746	0.41341009614936	0.319153919452806
WBGene00012791	1.19645937744135	1.51198714845588	0.961451380371094	2.98765513078377
WBGene00012792	0.0262141476811425	0.0361083636223488	0.0419811412436073	0.0590268326292022
WBGene00013772	0.0255897564596894	0	0.0209905706218037	0.0438648720743685
WBGene00013774	0.0724226145974698	0.0932005589084349	0.0595722731662545	0.0675437756685684
WBGene00171208	0	0.018640111781687	0.0313852640345383	0.0483785223959356
WBGene00168533	0.0474572493592335	0.0174682518406618	0	0
WBGene00045796	0.0511795129193788	0.018640111781687	0	0.0438648720743685
WBGene00047656	0.0255897564596894	0.037280223563374	0.0156926320172691	0
WBGene00013773	0.183609168990976	0.110078081855179	0.188512768003564	0.19760731908037
WBGene00174013	0.0680759598158714	0	0.0385817025444508	0
WBGene00047748	0	0	0.0595722731662545	0
WBGene00013775	0.913454835958752	1.19287117555986	0.297061437127004	0.694782883515974
WBGene00013776	1.56280896998731	2.29786795010336	1.617844956401	1.90973852963656
